date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,0050,12132883,642019332,52.25,53.35,52.2,53.35,1.3,2402,831000,-1114000,-493,146
2012-05-03,0050,5177566,274835367,53.25,53.25,52.95,53.1,-0.25,1156,476000,0,193,137
2012-05-04,0050,11424808,605745388,52.8,53.3,52.65,53.2,0.1,1363,-4481000,-75000,10,-26
2012-05-07,0050,21312453,1110096207,52.45,52.45,51.85,52.05,-1.15,4255,-14010000,1500000,735,59
2012-05-08,0050,9194107,478409512,52.2,52.25,51.9,52.05,0.0,1509,-4183000,0,-15,75
2012-05-09,0050,22880792,1179702034,51.65,51.85,51.35,51.7,-0.35,2669,-7828000,-226000,267,-98
2012-05-10,0050,7132826,368954587,51.6,52.0,51.55,51.7,0.0,1324,-517000,0,-268,9
2012-05-11,0050,29045919,1486045592,51.6,51.6,51.05,51.15,-0.55,3305,-7895000,-703000,404,104
2012-05-14,0050,10200944,521119095,51.3,51.3,50.95,51.2,0.05,1571,-46000,-800000,238,104
2012-05-15,0050,21664396,1102135199,50.9,51.2,50.55,51.2,0.0,2185,-462000,0,-239,-56
2012-05-16,0050,32978827,1667294077,51.0,51.1,50.1,50.2,-1.0,4708,-3194000,-934000,563,121
2012-05-17,0050,7940204,401579291,50.25,50.85,50.25,50.8,0.6,1754,-52000,-473000,-451,-184
2012-05-18,0050,37830294,1888228710,50.05,50.25,49.62,49.67,-1.13,6960,-8169000,-68000,-330,-206
2012-05-21,0050,14716016,735012862,49.95,50.05,49.74,49.95,0.28,2153,-910000,-362000,-186,-95
2012-05-22,0050,9359416,470511496,50.35,50.4,50.05,50.4,0.45,1646,-661000,-1111000,2,130
2012-05-23,0050,23947129,1186430016,49.9,49.9,49.39,49.49,-0.91,4183,-4629000,0,435,105
2012-05-24,0050,12526356,617626551,49.55,49.69,49.15,49.38,-0.11,2512,-188000,0,-6,-31
2012-05-25,0050,13503507,662903072,49.45,49.45,48.95,49.01,-0.37,3488,-6397000,-123000,500,102
2012-05-28,0050,6212453,305318995,49.01,49.47,48.85,49.47,0.46,1890,-2236000,0,-226,79
2012-05-29,0050,17147363,865103932,49.6,50.8,49.6,50.7,1.23,4182,-13000,-3541000,-163,328
2012-05-30,0050,11745965,587648352,50.35,50.35,49.83,50.1,-0.6,3530,99000,-635000,281,93
2012-05-31,0050,13194698,653341089,49.55,50.15,49.24,50.15,0.05,3045,-535000,0,294,-381
2012-06-01,0050,13961446,689000920,49.85,49.85,49.1,49.15,-1.0,4151,-320000,-339000,-54,-246
2012-06-04,0050,37179608,1775879110,48.2,48.2,47.45,47.68,-1.47,10311,-2536000,-583000,1099,172
2012-06-05,0050,9722549,469561821,48.42,48.45,48.04,48.3,0.62,3003,559000,0,20,-186
2012-06-06,0050,5408098,262472961,48.4,48.72,48.22,48.63,0.33,2064,-48000,0,-147,-125
2012-06-07,0050,6003935,293399154,49.1,49.12,48.63,48.74,0.11,2293,-268000,0,209,61
2012-06-08,0050,12950511,622569125,48.57,48.6,47.9,48.0,-0.74,3336,-8133000,0,613,-198
2012-06-11,0050,8363770,409171910,48.86,49.07,48.65,48.99,0.99,2170,800000,0,-666,15
2012-06-12,0050,5161000,249848160,48.1,48.61,48.1,48.61,-0.38,1314,-95000,0,399,117
2012-06-13,0050,3990825,194038682,48.61,48.83,48.46,48.71,0.1,1485,-290000,0,-145,-126
2012-06-14,0050,3406033,166321935,48.71,49.0,48.63,48.78,0.07,1230,-117000,0,-522,107
2012-06-15,0050,6219720,305647702,48.78,49.4,48.68,49.4,0.62,1968,-115000,0,-318,-287
2012-06-18,0050,9888425,496282665,50.4,50.5,50.0,50.2,0.8,3083,549100,0,-772,50
2012-06-19,0050,7268598,363095397,50.0,50.1,49.86,49.91,-0.29,1385,-3316000,0,-93,-47
2012-06-20,0050,9657087,485881114,50.15,50.45,50.15,50.45,0.54,2133,956000,0,-386,-77
2012-06-21,0050,4587460,229558989,50.2,50.3,49.88,50.15,-0.3,1334,23000,0,335,-101
2012-06-22,0050,6191984,306255391,49.2,49.62,49.2,49.56,-0.59,2197,-5000,0,182,35
2012-06-25,0050,7112729,349548894,49.04,49.29,49.03,49.2,-0.36,1899,-956000,0,184,-247
2012-06-26,0050,15276201,748240815,49.0,49.1,48.85,48.99,-0.21,2307,-3349000,0,-4,-117
2012-06-27,0050,7521013,370467369,48.88,49.5,48.86,49.45,0.46,1437,80000,0,-186,-125
2012-06-28,0050,10454140,517726577,49.7,49.75,49.43,49.53,0.08,1881,-433650,0,94,-134
2012-06-29,0050,13651507,681895217,49.48,50.3,49.35,50.2,0.67,2362,1371000,100000,-521,-29
2012-07-02,0050,9704279,490223065,50.5,50.7,50.3,50.6,0.4,2051,1267000,0,-193,204
2012-07-03,0050,17112185,875605502,50.8,51.5,50.75,51.2,0.6,3842,1243100,0,-416,312
2012-07-04,0050,9961163,513096258,51.45,51.75,51.25,51.4,0.2,1955,814000,0,-307,-67
2012-07-05,0050,4998944,256906705,51.45,51.65,51.25,51.3,-0.1,1280,279000,0,-30,-62
2012-07-06,0050,11019128,563639233,51.45,51.55,50.95,51.0,-0.3,1554,185000,-50000,63,-58
2012-07-09,0050,5879989,298939174,50.8,51.05,50.65,50.95,-0.05,1268,94000,0,130,-225
2012-07-10,0050,9034377,457488655,50.95,51.0,50.3,50.4,-0.55,2127,10000,0,165,-23
2012-07-11,0050,4163176,209729714,50.3,50.55,50.15,50.55,0.15,1032,-43000,0,-10,27
2012-07-12,0050,15500042,772037145,50.45,50.5,49.55,49.65,-0.9,3923,-2286000,250000,1245,86
2012-07-13,0050,7929169,392375980,49.5,49.7,49.35,49.5,-0.15,1917,-93000,0,90,66
2012-07-16,0050,6443204,318754192,49.75,49.8,49.25,49.5,0.0,1729,-223000,0,119,-85
2012-07-17,0050,6753341,336061980,49.5,50.05,49.4,49.85,0.35,1513,415000,40000,-129,279
2012-07-18,0050,8505798,420343047,49.8,49.8,49.18,49.2,-0.65,2579,105000,0,423,62
2012-07-19,0050,7663401,383437843,49.7,50.3,49.66,50.2,1.0,2686,146000,0,-653,-152
2012-07-20,0050,5701139,285440454,50.15,50.25,49.95,50.15,-0.05,1021,10000,49000,-172,31
2012-07-23,0050,14881209,731893048,49.65,49.7,49.04,49.25,-0.9,4630,-2397000,0,680,161
2012-07-24,0050,22240566,1089951176,49.2,49.2,48.89,49.12,-0.13,3652,-1469000,0,371,18
2012-07-25,0050,16634274,812608519,48.82,49.21,48.51,48.86,-0.26,3469,648000,0,344,-46
2012-07-26,0050,8170426,400096247,49.33,49.33,48.78,48.94,0.08,2070,-136000,0,296,112
2012-07-27,0050,9753125,484417060,49.5,49.95,49.35,49.92,0.98,2979,348000,0,-602,113
2012-07-30,0050,10029446,504649636,50.0,50.55,50.0,50.25,0.33,2671,71000,0,-347,29
2012-07-31,0050,14837371,752407676,50.5,51.1,50.1,51.1,0.85,3749,627000,0,-1240,-105
2012-08-01,0050,6881841,351450740,50.9,51.3,50.8,51.2,0.1,2186,1068000,0,-483,-74
2012-08-03,0050,5086836,258148949,50.75,50.9,50.55,50.9,-0.3,1509,946000,0,82,-29
2012-08-06,0050,11035662,570636637,51.9,52.0,51.45,51.55,0.65,2735,1096000,0,-442,68
2012-08-07,0050,4202938,216575121,51.6,51.65,51.4,51.6,0.05,1604,1057000,-280000,16,11
2012-08-08,0050,9545045,496033404,51.95,52.2,51.7,51.75,0.15,2585,1983000,-119000,-40,82
2012-08-09,0050,21225221,1115574094,52.1,52.9,52.1,52.85,1.1,4939,6968000,-40000,-1385,181
2012-08-10,0050,11291279,597430859,52.85,53.05,52.75,52.8,-0.05,2465,432000,0,-123,84
2012-08-13,0050,15662135,831228910,53.0,53.25,52.95,53.0,0.2,2697,7114000,0,-233,151
2012-08-14,0050,16024047,854491801,53.1,53.55,53.0,53.25,0.25,2613,9707000,-50000,-348,97
2012-08-15,0050,11946875,634681823,53.2,53.4,52.95,53.05,-0.2,1776,6478000,0,-29,-26
2012-08-16,0050,7953827,423898219,53.1,53.5,53.0,53.2,0.15,1596,1848000,0,63,139
2012-08-17,0050,5270885,279669055,53.35,53.35,52.95,52.95,-0.25,1068,570000,0,112,20
2012-08-20,0050,9862178,520220603,52.85,53.05,52.55,52.8,-0.15,1891,3850000,0,85,7
2012-08-21,0050,27066882,1449814703,52.95,53.8,52.95,53.4,0.6,3023,16098000,0,-131,241
2012-08-22,0050,5560943,295805638,53.35,53.4,53.0,53.35,-0.05,2065,809000,0,56,-42
2012-08-23,0050,8522486,454199582,53.2,53.5,53.15,53.3,-0.05,976,2322000,0,35,55
2012-08-24,0050,11023694,585207724,53.0,53.2,52.95,53.1,-0.2,1213,4003000,0,8,-29
2012-08-27,0050,7381834,392802836,53.45,53.55,53.0,53.2,0.1,1043,2492000,0,-17,-17
2012-08-28,0050,9135416,480748795,52.95,52.95,52.45,52.5,-0.7,2474,236000,0,210,113
2012-08-29,0050,2819315,148463319,52.4,52.8,52.4,52.7,0.2,767,153000,0,-75,-134
2012-08-30,0050,6947921,364959725,52.45,52.7,52.4,52.55,-0.15,819,-928000,0,-23,-46
2012-08-31,0050,3002955,158160865,52.5,52.85,52.45,52.75,0.2,755,395000,0,25,22
2012-09-03,0050,7153672,379685388,52.7,53.25,52.7,53.15,0.4,1677,1025000,0,-112,184
2012-09-04,0050,7304539,387906709,53.15,53.3,53.0,53.05,-0.1,787,1379000,0,85,-2
2012-09-05,0050,5020171,263425938,52.9,52.9,52.35,52.35,-0.7,1816,-478000,0,257,51
2012-09-06,0050,5866731,305950489,52.3,52.5,51.9,52.15,-0.2,1469,-236000,0,-133,-52
2012-09-07,0050,7668229,406456587,53.1,53.2,52.8,52.95,0.8,1654,511100,0,-32,132
2012-09-10,0050,8807199,468548644,52.95,53.35,52.9,53.35,0.4,1494,609000,0,-73,-12
2012-09-11,0050,8196917,437511851,53.35,53.5,53.25,53.3,-0.05,1189,1333000,0,-410,7
2012-09-12,0050,21342647,1152027183,53.75,54.15,53.75,54.05,0.75,3689,8893000,0,-145,125
2012-09-13,0050,11501332,623340689,54.2,54.3,54.05,54.15,0.1,1925,902000,0,12,38
2012-09-14,0050,35619400,1967238249,54.8,55.6,54.8,55.5,1.35,6519,18098000,0,-141,160
2012-09-17,0050,20149767,1120483476,55.5,55.8,55.35,55.6,0.1,3678,3935000,0,86,-56
2012-09-18,0050,17291813,958882636,55.5,55.6,55.25,55.4,-0.2,2131,476000,0,-67,19
2012-09-19,0050,20680374,1148672138,55.45,55.75,55.35,55.65,0.25,2538,12344000,0,-38,120
2012-09-20,0050,12362843,684405295,55.55,55.65,55.1,55.25,-0.4,2088,3671000,0,-164,6
2012-09-21,0050,11670115,647385703,55.35,55.6,55.35,55.45,0.2,1544,4678000,0,34,5
2012-09-24,0050,15113535,834210593,55.3,55.7,54.95,55.5,0.05,1441,1934000,0,-200,-53
2012-09-25,0050,7763669,430402673,55.6,55.65,55.25,55.3,-0.2,1106,3025000,0,-148,-15
2012-09-26,0050,5912990,324390821,54.9,55.15,54.75,54.9,-0.4,1406,385000,0,-142,2
2012-09-27,0050,4809219,264439783,54.8,55.15,54.8,55.1,0.2,1134,1946000,0,-62,-7
2012-09-28,0050,4580522,252268059,55.25,55.35,54.8,55.15,0.05,949,1154000,0,89,-1
2012-10-01,0050,4006626,219963051,55.0,55.1,54.75,55.0,-0.15,989,-239000,160000,83,24
2012-10-02,0050,6552980,361735377,55.1,55.35,54.95,55.25,0.25,1438,771000,0,115,6
2012-10-03,0050,3633269,200292280,55.25,55.3,54.9,55.0,-0.25,950,351000,0,62,39
2012-10-04,0050,8104245,444745214,55.0,55.1,54.5,55.05,0.05,1871,869000,410000,95,39
2012-10-05,0050,11700336,645230092,55.0,55.3,55.0,55.1,0.05,1497,-10000,205000,149,11
2012-10-08,0050,9556106,522839691,55.0,55.05,54.55,54.65,-0.45,1440,-1634000,0,189,43
2012-10-09,0050,8493250,463363288,54.75,54.75,54.4,54.4,-0.25,1469,47000,0,-18,36
2012-10-11,0050,30659151,1639203857,53.7,53.7,53.2,53.3,-1.1,4471,-549850,0,553,205
2012-10-12,0050,16268409,864868772,53.3,53.4,52.9,53.15,-0.15,2406,-1466000,0,115,255
2012-10-15,0050,10241646,543892789,53.05,53.25,53.0,53.25,0.1,1814,-86000,0,109,798
2012-10-16,0050,8036901,429366923,53.4,53.5,53.3,53.5,0.25,2023,-2835000,0,304,367
2012-10-17,0050,16203149,867885159,53.9,53.9,53.3,53.4,-0.1,2578,-8195940,0,280,1328
2012-10-18,0050,11622262,623288652,53.7,53.8,53.45,53.65,0.25,1356,-4112000,0,-177,868
2012-10-19,0050,16779789,892422559,53.6,53.6,53.05,53.25,-0.4,2756,-9818000,67000,-231,0
2012-10-22,0050,13005865,684719192,52.6,52.9,52.4,52.9,-0.35,2780,-3893000,73000,-152,0
2012-10-23,0050,30800049,1627934463,52.9,53.1,52.65,52.9,0.0,3071,-5510000,-285000,-137,0
2012-10-24,0050,18503895,939184120,50.55,51.0,50.45,51.0,0.0,4736,-186000,-82000,719,-948
2012-10-25,0050,20563120,1042608341,50.95,50.95,50.45,50.5,-0.5,3878,-11147000,0,1100,-235
2012-10-26,0050,26363027,1323238227,50.7,50.75,49.87,49.91,-0.59,5996,-12939000,0,436,-495
2012-10-29,0050,15100152,755045077,49.99,50.2,49.87,50.0,0.09,4446,-5985000,0,332,-244
2012-10-30,0050,12686436,639301004,50.3,50.65,50.2,50.45,0.45,2234,-4503000,0,546,-137
2012-10-31,0050,6854134,345541815,50.7,50.7,50.2,50.4,-0.05,1963,-1482000,0,-9,-117
2012-11-01,0050,16368191,818678045,50.1,50.55,49.6,50.35,-0.05,4165,-7991000,-408000,103,65
2012-11-02,0050,7148546,361768393,50.7,50.7,50.5,50.7,0.35,1722,110000,0,-295,-248
2012-11-05,0050,8125841,410259966,50.55,50.7,50.3,50.5,-0.2,1684,-988000,0,113,-153
2012-11-06,0050,9619098,486789898,50.65,50.95,50.4,50.9,0.4,1633,-3771000,0,-15,16
2012-11-07,0050,11045662,563105877,50.9,51.2,50.65,51.15,0.25,2302,-1186000,0,-164,-172
2012-11-08,0050,9785443,495392872,50.6,50.75,50.5,50.75,-0.4,1959,-1493000,0,20,-222
2012-11-09,0050,10005555,508918414,50.35,51.3,50.25,51.1,0.35,2177,-1493000,0,-512,-96
2012-11-12,0050,7505345,383046645,51.3,51.3,50.85,50.9,-0.2,2015,1509244,0,-102,-156
2012-11-13,0050,14839305,744808945,51.0,51.0,50.0,50.05,-0.85,4737,-616000,0,962,-226
2012-11-14,0050,7656400,383171812,49.95,50.25,49.82,50.15,0.1,2128,-758810,0,86,-405
2012-11-15,0050,11845749,590222182,50.0,50.25,49.5,50.0,-0.15,3427,-1294434,0,221,-186
2012-11-16,0050,13698858,684772855,49.95,50.35,49.78,49.94,-0.06,2788,-3559000,0,142,-65
2012-11-19,0050,4365081,219249255,50.3,50.35,50.05,50.25,0.31,1287,29000,0,-89,-89
2012-11-20,0050,4985835,251375954,50.7,50.7,50.25,50.35,0.1,1411,1395000,0,-254,40
2012-11-21,0050,13326407,667474240,50.45,50.5,49.7,49.97,-0.38,2986,-3926000,0,503,117
2012-11-22,0050,7869548,395166379,50.3,50.35,50.1,50.2,0.23,1231,384000,0,9,107
2012-11-23,0050,19224255,985123863,50.55,51.8,50.5,51.7,1.5,6105,2072000,50000,-1021,-55
2012-11-26,0050,13124224,684437782,51.8,52.3,51.8,52.2,0.5,4681,1275000,115000,-220,16
2012-11-27,0050,8538125,446540215,52.2,52.5,52.0,52.4,0.2,2777,1063000,0,4,-97
2012-11-28,0050,4523801,236735081,52.4,52.5,52.2,52.45,0.05,1537,8000,0,121,25
2012-11-29,0050,19857708,1051076324,52.65,53.1,52.65,53.1,0.65,4414,3344700,-90000,-632,-236
2012-11-30,0050,29758835,1591443347,53.1,53.7,53.0,53.55,0.45,5492,17933000,0,200,-29
2012-12-03,0050,11201079,600296733,53.55,53.8,53.2,53.5,-0.05,2355,2915000,0,-210,195
2012-12-04,0050,10697131,569376397,53.05,53.45,53.05,53.45,-0.05,1883,309000,0,-432,212
2012-12-05,0050,13587588,726432991,53.3,53.8,53.1,53.75,0.3,2378,1626000,0,-175,-50
2012-12-06,0050,11294944,605387670,53.75,53.75,53.45,53.6,-0.15,1265,3153000,0,-217,-39
2012-12-07,0050,16314379,879442528,53.65,54.05,53.65,53.9,0.3,2555,8864000,0,-245,-48
2012-12-10,0050,9932783,534102179,53.9,54.05,53.5,53.7,-0.2,1325,2172000,-65000,-23,-24
2012-12-11,0050,8904629,476963059,53.65,53.8,53.3,53.65,-0.05,1489,1524800,200000,-226,-67
2012-12-12,0050,18649618,1008894172,53.8,54.3,53.8,54.1,0.45,3439,8837000,200000,-38,-2
2012-12-13,0050,22337289,1217806436,54.3,54.8,54.25,54.7,0.6,3521,11634000,0,119,-35
2012-12-14,0050,9058714,492300198,54.6,54.6,54.2,54.2,-0.5,1973,4624000,0,166,44
2012-12-17,0050,5560398,298483207,54.2,54.2,53.4,53.5,-0.7,2048,-184000,-150000,-73,46
2012-12-18,0050,6360924,340477615,53.75,53.75,53.4,53.55,0.05,971,3142000,0,-147,92
2012-12-19,0050,4659401,250353021,53.95,53.95,53.6,53.7,0.15,999,1092000,0,246,-39
2012-12-20,0050,7276056,387311716,53.35,53.5,53.05,53.05,-0.65,1720,425000,0,-179,30
2012-12-21,0050,11689407,615644971,53.05,53.2,52.4,52.8,-0.25,3397,-152000,0,516,374
2012-12-22,0050,4238584,224049465,52.6,53.0,52.6,52.95,0.15,1454,0,65000,80,-3
2012-12-24,0050,4391649,231942415,52.9,53.05,52.65,52.7,-0.25,1036,-501000,0,-115,-64
2012-12-25,0050,11578037,618370432,52.75,53.7,52.75,53.6,0.9,2272,2041000,0,94,15
2012-12-26,0050,18127897,971241798,53.6,53.75,53.4,53.5,-0.1,1633,11374000,0,152,25
2012-12-27,0050,11013548,588266868,53.2,53.6,53.2,53.45,-0.05,1744,1861000,0,-621,-53
2012-12-28,0050,19932723,1072073599,53.7,53.95,53.65,53.8,0.35,2088,14152000,0,122,-211
2013-01-02,0050,16487837,896311193,54.0,54.65,53.9,54.4,0.6,3320,7582000,590000,-27,137
2013-01-03,0050,29020585,1592306381,54.9,55.05,54.65,54.85,0.45,5427,-665000,987000,-237,-450
2013-01-04,0050,9837846,536506095,54.85,54.85,54.4,54.5,-0.35,2058,-621000,-65000,-92,60
2013-01-07,0050,8910880,483016448,54.55,54.55,53.9,54.25,-0.25,2039,-304000,0,105,3
2013-01-08,0050,12507357,673988953,54.0,54.2,53.65,53.9,-0.35,1821,-1515000,88000,-69,50
2013-01-09,0050,7529070,407184170,53.75,54.3,53.75,54.1,0.2,1450,-332000,0,-352,-11
2013-01-10,0050,13953703,760152853,54.3,54.65,54.15,54.5,0.4,2121,648000,0,-194,1
2013-01-11,0050,11837820,646270933,54.7,54.8,54.35,54.45,-0.05,1246,6565000,0,-121,-48
2013-01-14,0050,7282035,393924688,54.0,54.5,53.8,54.5,0.05,1728,-147000,0,-147,-17
2013-01-15,0050,6609521,357735290,54.2,54.45,53.9,54.0,-0.5,1605,-98900,0,306,77
2013-01-16,0050,8142003,438232812,54.05,54.05,53.7,53.7,-0.3,1769,-2191000,0,196,1
2013-01-17,0050,10084179,541562513,53.9,54.2,53.2,53.3,-0.4,2611,-441000,0,-17,-102
