date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2018-01-02,00679B,922000,35795940,38.9,38.94,38.78,38.84,-0.03,25,0,0,0,0
2018-01-03,00679B,948000,36358480,38.39,38.4,38.31,38.37,-0.47,151,-8000,0,0,0
2018-01-04,00679B,486000,18708060,38.48,38.52,38.48,38.5,0.13,34,0,0,0,0
2018-01-05,00679B,1133000,43608250,38.5,38.52,38.45,38.45,-0.05,56,0,0,0,0
2018-01-08,00679B,894000,34234560,38.41,38.41,38.25,38.31,-0.14,98,-3000,0,0,0
2018-01-09,00679B,1054000,40392970,38.31,38.36,38.31,38.31,0.0,62,-5000,0,0,0
2018-01-10,00679B,1203000,45575930,37.98,37.99,37.8,37.9,-0.41,231,-17000,0,0,0
2018-01-11,00679B,3014000,114229860,37.9,38.0,37.87,37.98,0.08,76,10000,0,0,0
2018-01-12,00679B,3543000,134666540,37.98,38.05,37.96,38.01,0.03,91,0,0,0,0
2018-01-15,00679B,5373000,204974990,38.15,38.17,38.13,38.16,0.15,99,30000,0,0,0
2018-01-16,00679B,515000,19637900,38.2,38.2,38.1,38.2,0.04,45,0,0,0,0
2018-01-17,00679B,3540000,135379040,38.21,38.25,38.16,38.17,-0.03,87,0,0,0,0
2018-01-18,00679B,1464000,55781980,38.17,38.17,38.09,38.13,-0.04,49,-3000,0,0,0
2018-01-19,00679B,957000,35976680,37.86,37.86,37.54,37.56,-0.57,282,-12000,0,1,0
2018-01-22,00679B,2269000,84697660,37.49,37.49,37.28,37.38,-0.18,231,-8000,0,1,0
2018-01-23,00679B,1894000,70563600,37.47,37.47,37.22,37.25,-0.13,149,-72000,0,0,0
2018-01-24,00679B,1445000,54043580,37.36,37.43,37.36,37.39,0.14,84,0,0,-1,0
2018-01-25,00679B,1925000,71417490,37.16,37.16,37.02,37.1,-0.29,308,0,0,1,0
2018-01-26,00679B,2167000,80754600,37.29,37.3,37.2,37.25,0.15,236,283000,0,-1,0
2018-01-29,00679B,1930000,71595160,37.22,37.22,37.02,37.12,-0.13,113,-23000,0,0,0
2018-01-30,00679B,2323000,85882980,37.12,37.12,36.85,36.92,-0.2,233,-2000,0,0,0
2018-01-31,00679B,647000,23885950,36.9,36.95,36.85,36.89,-0.03,88,0,0,0,0
2018-02-01,00679B,492000,18181310,36.89,37.0,36.89,37.0,0.11,36,4000,0,-1,0
2018-02-02,00679B,2162000,79111130,36.77,36.77,36.51,36.63,-0.37,164,188000,0,0,0
2018-02-05,00679B,2292000,82876260,36.33,36.34,36.06,36.09,-0.54,258,117000,0,0,0
2018-02-06,00679B,834000,30792030,36.43,37.06,36.43,36.9,0.81,129,6000,0,5,0
2018-02-07,00679B,753000,27387250,36.52,36.52,36.31,36.42,-0.48,97,0,0,0,0
2018-02-08,00679B,866000,31285060,36.27,36.27,36.04,36.09,-0.33,173,0,0,0,0
2018-02-09,00679B,855000,30820670,36.05,36.12,36.0,36.11,0.02,95,-30000,0,0,0
2018-02-12,00679B,1051000,37532930,35.87,35.87,35.64,35.66,-0.45,257,-118000,0,0,0
2018-02-21,00679B,1202000,42898560,35.7,35.78,35.62,35.78,0.12,114,0,0,0,0
2018-02-22,00679B,820000,29107570,35.52,35.54,35.45,35.47,-0.31,146,0,0,0,0
2018-02-23,00679B,801000,28379830,35.49,35.49,35.4,35.42,-0.05,139,0,0,1,0
2018-02-26,00679B,871000,31164240,35.67,35.85,35.67,35.8,0.38,105,0,0,-1,0
2018-02-27,00679B,1007000,35992010,35.8,35.8,35.71,35.77,-0.03,108,0,0,0,0
2018-03-01,00679B,1051000,37829540,36.0,36.03,35.96,35.99,0.22,133,0,0,1,0
2018-03-02,00679B,2533000,91772640,36.23,36.25,36.18,36.25,0.26,167,0,0,20,0
2018-03-05,00679B,1031000,37157220,36.19,36.19,35.96,36.07,-0.18,98,0,0,2,0
2018-03-06,00679B,874000,31126770,35.68,35.68,35.59,35.62,0.0,171,0,0,-2,0
2018-03-07,00679B,881000,31472120,35.8,35.8,35.7,35.73,0.11,31,0,0,0,0
2018-03-08,00679B,843000,30034930,35.7,35.7,35.6,35.67,-0.06,52,0,0,0,0
2018-03-09,00679B,704000,25153990,35.75,35.76,35.71,35.74,0.07,46,0,0,0,0
2018-03-12,00679B,773000,27464810,35.61,35.61,35.5,35.58,-0.16,109,-8000,0,0,0
2018-03-13,00679B,523000,18666870,35.66,35.7,35.66,35.7,0.12,37,0,0,1,0
2018-03-14,00679B,597000,21477390,35.79,36.0,35.79,35.99,0.29,65,0,0,0,0
2018-03-15,00679B,1107000,40063400,36.17,36.28,36.14,36.28,0.29,85,0,0,-1,0
2018-03-16,00679B,519000,18779320,36.28,36.28,36.15,36.23,-0.05,46,0,0,0,0
2018-03-19,00679B,882000,31767040,36.17,36.17,35.98,36.04,-0.19,74,0,0,0,0
2018-03-20,00679B,721000,25878960,35.98,35.98,35.87,35.87,-0.17,80,-261000,0,0,0
2018-03-21,00679B,625000,22356190,35.8,35.8,35.75,35.75,-0.12,96,-3000,0,0,0
2018-03-22,00679B,535000,19168050,35.8,35.89,35.76,35.87,0.12,53,0,0,0,0
2018-03-23,00679B,616000,22286040,36.07,36.22,36.07,36.15,0.28,69,0,0,0,0
2018-03-26,00679B,453000,16318090,36.19,36.19,35.96,35.99,-0.16,80,0,0,1,0
2018-03-27,00679B,499000,17933600,35.97,35.97,35.91,35.92,-0.07,50,-12000,0,0,0
2018-03-28,00679B,522000,18896260,36.17,36.23,36.17,36.23,0.31,57,2000,0,1,0
2018-03-29,00679B,3429000,124554280,36.27,36.35,36.27,36.35,0.12,111,11000,0,30,0
2018-03-30,00679B,1123000,40981890,36.38,36.6,36.36,36.41,0.06,77,0,0,0,0
2018-03-31,00679B,182000,6646780,36.45,36.6,36.45,36.53,0.12,24,0,0,-2,0
2018-04-02,00679B,538000,19649630,36.56,36.56,36.45,36.5,-0.03,47,-13000,0,0,0
2018-04-03,00679B,527000,19325560,36.73,36.73,36.63,36.69,0.19,52,0,0,-18,0
2018-04-09,00679B,642000,23371580,36.55,36.55,36.33,36.34,-0.35,101,0,0,-2,0
2018-04-10,00679B,504000,18330050,36.44,36.45,36.35,36.36,0.02,27,0,0,0,0
2018-04-11,00679B,840000,30603260,36.48,36.48,36.4,36.45,0.09,77,318000,0,0,0
2018-04-12,00679B,577000,21142130,36.55,36.68,36.55,36.68,0.23,52,0,0,0,0
2018-04-13,00679B,519000,18980820,36.53,36.63,36.46,36.59,-0.09,37,0,0,0,0
2018-04-16,00679B,607000,22191090,36.45,36.61,36.45,36.6,0.01,45,0,0,-30,0
2018-04-17,00679B,506000,18553010,36.62,36.7,36.62,36.68,0.08,31,0,0,0,0
2018-04-18,00679B,512000,18779880,36.66,36.7,36.66,36.7,0.02,30,0,0,0,0
2018-04-19,00679B,507000,18496310,36.44,36.54,36.4,36.47,-0.23,34,0,0,0,0
2018-04-20,00679B,639000,23135170,36.25,36.26,36.17,36.19,-0.28,93,10000,0,0,0
2018-04-23,00679B,652000,23487720,36.03,36.07,35.99,36.02,-0.17,90,0,0,0,0
2018-04-24,00679B,552000,20016270,36.06,36.29,36.06,36.24,0.22,30,3000,0,0,0
2018-04-25,00679B,1072000,38632810,36.03,36.06,36.0,36.06,-0.18,126,242000,0,0,0
2018-04-26,00679B,1860000,66840080,35.92,35.98,35.9,35.93,-0.13,161,0,0,0,0
2018-04-27,00679B,660000,23867950,36.03,36.2,36.03,36.14,0.21,43,175000,0,0,0
2018-04-30,00679B,496000,17954120,36.14,36.25,36.14,36.25,0.11,36,3000,0,0,0
2018-05-02,00679B,1171000,42615730,36.3,36.5,36.3,36.5,0.25,48,343000,0,0,0
2018-05-03,00679B,613000,22324360,36.5,36.5,36.39,36.41,-0.09,43,0,0,0,0
2018-05-04,00679B,544000,19819590,36.43,36.44,36.41,36.44,0.03,20,0,0,0,0
2018-05-07,00679B,640000,23352800,36.49,36.54,36.45,36.54,0.1,28,102000,0,0,0
2018-05-08,00679B,503000,18400560,36.54,36.59,36.54,36.59,0.05,29,-2000,0,0,0
2018-05-09,00679B,978000,35767090,36.48,36.64,36.48,36.6,0.01,103,-8000,0,0,0
2018-05-10,00679B,622000,22738470,36.55,36.58,36.53,36.54,-0.06,30,-14000,0,0,0
2018-05-11,00679B,492000,18020730,36.65,36.69,36.55,36.55,0.01,30,0,0,0,0
2018-05-14,00679B,621000,22742500,36.63,36.65,36.6,36.6,0.05,21,-3000,0,0,0
2018-05-15,00679B,682000,24896500,36.46,36.52,36.45,36.45,-0.15,32,-34000,0,0,0
2018-05-16,00679B,806000,29207270,36.26,36.28,36.18,36.18,-0.27,96,-56000,0,0,0
2018-05-17,00679B,394000,14202870,36.07,36.08,36.01,36.08,-0.1,40,-33000,0,0,0
2018-05-18,00679B,1200000,43077870,35.87,35.99,35.87,35.99,-0.09,120,-54000,0,0,0
2018-05-21,00679B,376000,13638290,36.15,36.3,36.15,36.28,0.29,37,6000,0,0,0
2018-05-22,00679B,482000,17507590,36.28,36.34,36.28,36.33,0.05,22,0,0,3,0
2018-05-23,00679B,524000,18914630,36.21,36.21,36.02,36.05,0.0,40,-7000,0,0,0
2018-05-24,00679B,1442000,52386620,36.27,36.4,36.27,36.36,0.31,48,195000,0,0,0
2018-05-25,00679B,517000,18824570,36.36,36.45,36.36,36.45,0.09,35,0,0,0,0
2018-05-28,00679B,618000,22653740,36.67,36.68,36.6,36.65,0.2,60,0,0,0,0
2018-05-29,00679B,866000,31969310,36.84,36.96,36.84,36.96,0.31,112,20000,0,0,0
2018-05-30,00679B,10676000,399442430,37.45,37.6,37.4,37.48,0.52,171,19410000,0,10,0
2018-05-31,00679B,564000,21016430,37.3,37.34,37.25,37.27,-0.21,34,13500000,0,-3,0
2018-06-01,00679B,348000,12926450,37.3,37.3,37.1,37.11,-0.16,38,-9000,0,0,0
2018-06-04,00679B,351000,12933470,36.91,36.91,36.81,36.84,-0.27,41,-6000,0,-9,0
2018-06-05,00679B,461000,16921900,36.8,36.8,36.66,36.71,-0.13,47,-1000,0,-1,0
2018-06-06,00679B,393000,14397020,36.69,36.69,36.6,36.6,-0.11,47,0,0,0,0
2018-06-07,00679B,505000,18369500,36.41,36.41,36.29,36.4,-0.2,107,-24000,0,0,0
2018-06-08,00679B,357000,13091010,36.5,36.73,36.5,36.73,0.33,37,0,0,0,0
2018-06-11,00679B,324000,11867440,36.75,36.75,36.61,36.64,-0.09,17,0,0,0,0
2018-06-12,00679B,392000,14380860,36.67,36.7,36.67,36.69,0.05,33,0,0,4,0
2018-06-13,00679B,389000,14258050,36.69,36.69,36.63,36.65,-0.04,20,-43000,0,0,0
2018-06-14,00679B,466000,17160100,36.8,36.92,36.65,36.9,0.25,47,98000,0,0,0
2018-06-15,00679B,472000,17521020,36.95,37.15,36.95,37.15,0.25,39,13481000,0,0,0
2018-06-19,00679B,597000,22362080,37.19,37.49,37.19,37.47,0.32,138,33000,0,0,0
2018-06-20,00679B,393000,14734140,37.46,37.7,37.46,37.5,0.03,42,39000,0,-4,0
2018-06-21,00679B,410000,15249400,37.38,37.38,37.13,37.22,-0.28,46,-7000,0,0,0
2018-06-22,00679B,373000,13992150,37.43,37.55,37.43,37.52,0.3,36,13000,0,0,0
2018-06-25,00679B,350000,13220730,37.61,37.8,37.61,37.8,0.28,57,70000,0,0,0
2018-06-26,00679B,407000,15384420,37.7,37.82,37.67,37.81,0.01,46,37000,0,-1,0
2018-06-27,00679B,390000,14776650,37.77,37.92,37.77,37.89,0.08,44,27510000,0,0,0
2018-06-28,00679B,926000,35487350,38.13,38.35,38.13,38.34,0.45,127,27329000,0,-5,0
2018-06-29,00679B,679000,25986770,38.32,38.44,38.19,38.19,-0.15,106,-27496000,0,0,0
2018-07-02,00679B,598000,22792380,38.19,38.2,38.06,38.15,-0.04,34,0,0,0,0
2018-07-03,00679B,1074000,41157570,38.15,38.38,38.15,38.38,0.23,70,2000,0,3,0
2018-07-04,00679B,430000,16501720,38.38,38.4,38.32,38.36,-0.02,45,0,0,0,0
2018-07-05,00679B,359000,13788710,38.39,38.42,38.39,38.41,0.05,32,0,0,0,0
2018-07-06,00679B,431000,16570110,38.46,38.5,38.42,38.45,0.04,32,0,0,0,0
2018-07-09,00679B,427000,16392410,38.45,38.45,38.35,38.4,-0.05,45,26000000,0,0,0
2018-07-10,00679B,384000,14671910,38.29,38.29,38.19,38.19,-0.21,33,0,0,0,0
2018-07-11,00679B,437000,16777910,38.27,38.55,38.27,38.39,0.2,43,59000,0,1,0
2018-07-12,00679B,392000,15083620,38.5,38.55,38.42,38.45,0.06,31,0,0,0,0
2018-07-13,00679B,320000,12322880,38.5,38.52,38.46,38.49,0.04,14,0,0,0,0
2018-07-16,00679B,405000,15658540,38.57,38.68,38.57,38.68,0.19,51,29000,0,0,0
2018-07-17,00679B,781000,30070920,38.56,38.56,38.45,38.45,-0.23,35,0,0,0,0
2018-07-18,00679B,532000,20456230,38.45,38.49,38.4,38.49,0.04,15,-15000,0,0,0
2018-07-19,00679B,330000,12673570,38.42,38.42,38.39,38.39,-0.1,23,-11000,0,0,0
2018-07-20,00679B,392000,15162350,38.57,38.74,38.52,38.68,0.29,47,0,0,0,0
2018-07-23,00679B,512000,19566340,38.29,38.29,38.17,38.23,-0.45,67,-149000,0,2,0
2018-07-24,00679B,472000,17874960,37.9,37.92,37.8,37.9,-0.33,67,-35000,0,1,0
2018-07-25,00679B,369000,14016130,38.0,38.01,37.95,37.99,0.09,29,-2000,0,0,0
2018-07-26,00679B,897000,33823830,37.79,37.79,37.62,37.74,-0.25,78,-110000,0,0,0
2018-07-27,00679B,364000,13714960,37.83,37.83,37.65,37.73,-0.01,45,0,0,0,0
2018-07-30,00679B,337000,12734450,37.82,37.82,37.78,37.81,0.08,29,0,0,0,0
2018-07-31,00679B,363000,13712440,37.79,37.99,37.7,37.9,0.09,41,0,0,0,0
2018-08-01,00679B,364000,13750640,37.89,37.89,37.76,37.8,-0.1,38,0,0,0,0
2018-08-02,00679B,467000,17575710,37.69,37.69,37.6,37.65,-0.15,63,0,0,0,0
2018-08-03,00679B,462000,17408810,37.65,37.71,37.65,37.71,0.06,24,0,0,0,0
2018-08-06,00679B,352000,13291100,37.73,37.8,37.73,37.8,0.09,19,16000,0,1,0
2018-08-07,00679B,781000,29561430,37.87,37.87,37.81,37.85,0.05,25,0,0,0,0
2018-08-08,00679B,551000,20748210,37.68,37.68,37.62,37.66,-0.19,57,0,0,1,0
2018-08-09,00679B,646000,24336400,37.67,37.7,37.66,37.68,0.02,29,0,0,0,0
2018-08-10,00679B,507000,19258120,38.0,38.08,37.91,38.06,0.38,43,164000,0,0,0
2018-08-13,00679B,511000,19658210,38.27,38.51,38.27,38.41,0.35,66,-100000,0,-6,0
2018-08-14,00679B,313000,12005270,38.39,38.39,38.31,38.34,-0.07,16,-2000,0,0,0
2018-08-15,00679B,350000,13413440,38.32,38.36,38.24,38.35,0.01,35,0,0,0,0
2018-08-16,00679B,565000,21740530,38.36,38.55,38.36,38.47,0.12,45,-78000,0,0,0
2018-08-17,00679B,359000,13803720,38.47,38.49,38.4,38.4,-0.07,36,0,0,0,0
2018-08-20,00679B,399000,15358910,38.49,38.55,38.47,38.47,0.07,32,0,0,1,0
2018-08-21,00679B,8192000,315658040,38.55,38.62,38.53,38.54,0.07,95,3500000,0,0,0
2018-08-22,00679B,6575000,252585010,38.43,38.43,38.32,38.41,0.0,101,-1049000,0,0,0
2018-08-23,00679B,478000,18384920,38.41,38.5,38.39,38.5,0.09,33,0,0,0,0
2018-08-24,00679B,404000,15560660,38.45,38.55,38.45,38.49,-0.01,35,0,0,-1,0
2018-08-27,00679B,386000,14866710,38.48,38.53,38.48,38.52,0.03,34,0,0,0,0
2018-08-28,00679B,411000,15751880,38.32,38.36,38.3,38.34,-0.18,51,0,0,0,0
2018-08-29,00679B,345000,13165950,38.25,38.25,38.15,38.16,-0.18,37,0,0,0,0
2018-08-30,00679B,440000,16797340,38.16,38.2,38.16,38.17,0.01,49,0,0,0,0
2018-08-31,00679B,426000,16321290,38.24,38.33,38.24,38.3,0.13,41,0,0,0,0
2018-09-03,00679B,383000,14648120,38.35,38.35,38.23,38.24,-0.06,44,35000000,0,0,0
2018-09-04,00679B,344000,13149140,38.21,38.26,38.2,38.23,-0.01,23,0,0,0,0
2018-09-05,00679B,3185000,121063660,38.11,38.11,37.97,38.01,-0.22,108,0,0,1,0
2018-09-06,00679B,407000,15445850,38.06,38.06,37.93,37.97,-0.04,54,0,0,0,0
