date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2018-01-02,00682U,17000,307840,18.08,18.14,18.08,18.14,0.06,11,0,0,0,0
2018-01-03,00682U,75000,1354080,18.05,18.07,18.03,18.07,-0.07,25,0,0,32,0
2018-01-04,00682U,28000,507000,18.1,18.12,18.1,18.12,0.05,13,0,0,0,0
2018-01-05,00682U,178000,3216110,18.08,18.1,18.05,18.08,-0.04,50,-70000,0,-33,0
2018-01-08,00682U,15000,271330,18.1,18.15,18.05,18.15,0.07,10,0,0,-3,0
2018-01-09,00682U,322000,5862880,18.22,18.23,18.16,18.2,0.05,27,0,0,0,0
2018-01-10,00682U,36000,656310,18.27,18.27,18.2,18.2,0.0,21,0,0,0,0
2018-01-11,00682U,32000,580160,18.13,18.13,18.13,18.13,-0.07,13,0,0,0,0
2018-01-12,00682U,86000,1552520,18.12,18.12,18.03,18.03,-0.1,43,0,0,0,0
2018-01-15,00682U,166000,2976120,17.95,17.95,17.89,17.89,-0.14,68,0,0,0,0
2018-01-16,00682U,111000,1984060,17.89,17.9,17.83,17.83,-0.06,51,0,0,-1,0
2018-01-17,00682U,104000,1853450,17.84,17.84,17.8,17.83,0.0,42,0,0,0,0
2018-01-18,00682U,41162,734310,17.83,17.86,17.83,17.86,0.03,27,0,0,0,0
2018-01-19,00682U,286020,5090875,17.77,17.82,17.77,17.8,-0.06,30,-240000,0,0,0
2018-01-22,00682U,64483,1145516,17.8,17.8,17.75,17.75,-0.05,31,0,0,0,0
2018-01-23,00682U,23000,408720,17.75,17.8,17.75,17.77,0.02,19,0,0,0,0
2018-01-24,00682U,62000,1098960,17.77,17.77,17.7,17.7,-0.07,41,0,0,13,0
2018-01-25,00682U,171000,3005970,17.61,17.66,17.53,17.53,-0.17,87,0,0,2,0
2018-01-26,00682U,76000,1337580,17.56,17.62,17.56,17.6,0.07,42,0,0,0,0
2018-01-29,00682U,252000,4433010,17.65,17.65,17.57,17.58,-0.02,61,-77000,0,2,0
2018-01-30,00682U,144188,2542233,17.66,17.66,17.62,17.65,0.07,52,-23000,0,5,0
2018-01-31,00682U,76000,1337660,17.65,17.65,17.57,17.57,-0.08,54,0,0,3,0
2018-02-01,00682U,32000,562540,17.57,17.6,17.54,17.56,-0.01,21,0,0,2,0
2018-02-02,00682U,228000,3992090,17.53,17.53,17.5,17.51,-0.05,76,0,0,3,0
2018-02-05,00682U,227000,3996410,17.68,17.68,17.57,17.62,0.11,78,0,0,5,0
2018-02-06,00682U,369802,6545705,17.69,17.73,17.6,17.7,0.08,114,0,0,8,0
2018-02-07,00682U,95400,1688094,17.71,17.72,17.67,17.67,-0.03,32,0,0,0,0
2018-02-08,00682U,148000,2629180,17.7,17.83,17.7,17.77,0.1,63,0,0,7,0
2018-02-12,00682U,226000,4019620,17.77,17.81,17.76,17.78,0.01,74,0,0,-19,0
2018-02-21,00682U,62000,1098570,17.8,17.8,17.7,17.71,-0.07,27,0,0,-3,0
2018-02-22,00682U,10854,192422,17.71,17.8,17.71,17.8,0.09,9,0,0,0,0
2018-02-26,00682U,47000,832340,17.7,17.73,17.7,17.7,0.01,29,0,0,0,0
2018-02-27,00682U,35019,621036,17.73,17.75,17.72,17.72,0.02,21,0,0,0,0
2018-03-01,00682U,258000,4623870,17.87,17.94,17.86,17.94,0.22,67,0,0,-1,0
2018-03-02,00682U,245000,4370970,17.9,17.9,17.8,17.82,-0.12,63,0,0,0,0
