date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,1110,193000,2368750,12.1,12.4,12.1,12.3,0.3,59,45000,3000,2,0
2012-05-03,1110,91183,1127169,12.3,12.5,12.2,12.5,0.2,38,27000,0,19,0
2012-05-04,1110,331010,4117371,12.5,12.75,12.3,12.55,0.05,94,-9000,0,134,10
2012-05-07,1110,165002,2032174,12.4,12.4,12.25,12.3,-0.25,69,-32000,0,14,5
2012-05-08,1110,72000,889000,12.35,12.4,12.2,12.4,0.1,38,-19000,0,7,0
2012-05-09,1110,116251,1423712,12.25,12.3,12.15,12.25,-0.15,52,-28000,0,40,0
2012-05-10,1110,111530,1358313,12.2,12.2,12.15,12.15,-0.1,42,10000,0,5,0
2012-05-11,1110,250000,3001500,12.15,12.15,11.9,12.1,-0.05,53,-28000,0,-35,0
2012-05-14,1110,164000,1930450,12.0,12.0,11.7,11.8,-0.3,45,-8000,0,40,0
2012-05-15,1110,131136,1525941,11.8,11.8,11.5,11.75,-0.05,44,13000,3000,43,0
2012-05-16,1110,72000,829450,11.75,11.75,11.3,11.4,-0.35,22,-20000,0,-5,0
2012-05-17,1110,96000,1102050,11.6,11.6,11.3,11.6,0.2,48,-46000,0,45,0
2012-05-18,1110,111992,1274308,11.35,11.6,11.25,11.5,-0.1,73,-52000,0,52,0
2012-05-21,1110,52356,607179,11.55,11.7,11.45,11.7,0.2,27,-20000,0,8,0
2012-05-22,1110,292000,3459500,11.75,12.1,11.75,11.9,0.2,83,-2000,0,-10,0
2012-05-23,1110,115000,1352600,11.8,11.8,11.6,11.8,-0.1,63,-29000,-2000,16,0
2012-05-24,1110,26179,307203,11.8,12.0,11.65,11.65,-0.15,15,-2000,0,0,0
2012-05-25,1110,34000,393850,11.65,11.85,11.4,11.65,0.0,16,-1000,0,16,0
2012-05-28,1110,84102,965111,11.25,11.65,11.25,11.65,0.0,30,-2000,0,9,0
2012-05-29,1110,244000,2890350,11.6,12.1,11.6,12.1,0.45,71,-2000,1000,-17,0
2012-05-30,1110,64044,757923,11.9,12.0,11.7,11.95,-0.15,53,-45000,0,39,0
2012-05-31,1110,80107,948673,11.85,11.95,11.6,11.95,0.0,32,-14000,0,-10,0
2012-06-01,1110,53313,631142,11.85,11.95,11.7,11.85,-0.1,21,0,0,20,0
2012-06-04,1110,77183,880472,11.5,11.5,11.2,11.5,-0.35,26,-1000,2000,6,0
2012-06-05,1110,42250,490375,11.6,11.95,11.45,11.55,0.05,26,1000,-9000,26,0
2012-06-06,1110,57000,661800,11.6,11.65,11.6,11.6,0.05,11,-1000,0,9,0
2012-06-07,1110,46116,539334,11.6,11.85,11.6,11.6,0.0,17,5000,0,10,0
2012-06-08,1110,2000,23250,11.65,11.65,11.6,11.6,0.0,2,-1000,0,1,0
2012-06-11,1110,59178,694350,11.7,11.85,11.6,11.85,0.25,18,-1000,0,16,0
2012-06-12,1110,32000,374250,11.75,11.75,11.65,11.7,-0.15,12,-3000,0,0,0
2012-06-13,1110,68000,804850,11.9,11.9,11.7,11.85,0.15,28,0,43000,-32,0
2012-06-14,1110,79000,944300,11.85,12.05,11.8,12.05,0.2,35,0,42000,7,0
2012-06-15,1110,142320,1700190,12.0,12.15,11.8,12.05,0.0,56,37000,0,-29,0
2012-06-18,1110,206151,2492662,12.3,12.3,11.9,12.1,0.05,64,-4000,0,33,0
2012-06-19,1110,26003,313283,12.15,12.15,11.95,11.95,-0.15,19,4000,0,11,0
2012-06-20,1110,125001,1512562,12.15,12.2,11.95,12.15,0.2,41,1000,0,43,0
2012-06-21,1110,132100,1581800,12.1,12.1,11.85,12.1,-0.05,46,-1000,0,-61,0
2012-06-25,1110,105474,1236340,11.9,11.9,11.65,11.75,-0.05,42,-2000,0,45,0
2012-06-26,1110,57799,675216,11.7,11.8,11.6,11.65,-0.1,29,10000,-14000,-12,0
2012-06-27,1110,106001,1232311,11.7,11.7,11.55,11.55,-0.1,26,-3000,0,-3,0
2012-06-28,1110,143402,1657912,11.65,11.65,11.5,11.55,0.0,46,21402,-3000,-21,0
2012-06-29,1110,184496,2155702,11.6,11.8,11.4,11.8,0.25,55,15401,0,-24,0
2012-07-02,1110,24001,283161,11.85,11.85,11.7,11.75,-0.05,13,0,-2000,12,0
2012-07-03,1110,113030,1350257,11.75,12.15,11.75,12.0,0.25,55,-1000,2000,77,0
2012-07-04,1110,128002,1539224,12.2,12.2,11.95,12.1,0.1,38,-1000,0,5,0
2012-07-05,1110,15257,183189,12.1,12.1,11.9,11.95,-0.15,17,-9000,-1000,0,0
